姓名,订单类型,日期,退款日期,打单重量,结算重量,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
嘉丰国际1号楼101快递美团干洗_站点,总计:,3216.37,,,,,,,,,,,,,,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-26 16:13:45,,0.4,,6.00,,2.32,42% - 0.2,1,1883428070251372544,极兔快递,JT0015167742854,服饰,江苏省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-26 16:12:21,,0.5,,6.00,,2.32,42% - 0.2,1,1883427712716316672,极兔快递,JT0015160898668,服饰,广东省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-26 16:11:19,,0.5,,6.00,,2.32,42% - 0.2,1,1883427456133963776,极兔快递,JT0015169035280,服饰,湖北省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-26 16:09:06,,0.2,,6.00,,2.32,42% - 0.2,1,1883426897523974144,极兔快递,JT0015167482490,其他,浙江省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-26 12:53:42,,0.45,,6.00,,2.32,42% - 0.2,1,1883377719934525440,极兔快递,JT0015161739884,其他,浙江省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-25 18:02:43,,0.25,,6.00,,2.32,42% - 0.2,1,1883093106402074624,极兔快递,JT0015164624401,服饰,山东省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-25 18:00:59,,0.6,,6.00,,2.32,42% - 0.2,1,1883092668592234496,极兔快递,JT0015163410851,服饰,安徽省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-25 15:37:23,,0.52,,6.00,,2.32,42% - 0.2,1,1883056530640936960,极兔快递,JT0015158657639,服饰,浙江省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-25 13:28:20,,1,,6.00,,2.32,42% - 0.2,1,1883024055235584000,极兔快递,JT0015159500504,服饰,浙江省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-25 13:27:07,,1,,6.00,,2.32,42% - 0.2,1,1883023752029347840,极兔快递,JT0015164443962,服饰,浙江省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-25 13:25:34,,0.9,,6.00,,2.32,42% - 0.2,1,1883023361787109376,极兔快递,JT0015163699120,服饰,湖南省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-25 12:06:10,,0.5,,6.00,,2.32,42% - 0.2,1,1883003376234733568,极兔快递,JT0015157367505,其他,广东省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-25 11:53:48,,0.6,,6.00,,2.32,42% - 0.2,1,1883000266699382784,极兔快递,JT0015161644786,服饰,浙江省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-25 11:19:15,,0.5,,6.00,,2.32,42% - 0.2,1,1882991568857931776,极兔快递,JT0015163099032,服饰,浙江省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 18:34:48,,0.5,,6.00,,2.32,42% - 0.2,1,1882738791263051776,极兔快递,JT0015159832191,其他,湖南省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 18:02:31,,0.85,,7.00,,1.94,42%,1,1882730666090897408,极兔快递,JT0015160256890,服饰,上海市,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,干洗,2025-01-24 17:40:25,,,,10.00,,3.00,30%,,1882725105651752960,干洗,,"毛领   *   1",,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,干洗,2025-01-24 17:37:59,,,,24.50,,7.35,30%,,1882724490175389696,干洗,,"清洗普通羽绒服2件不分长短49元   *   1",,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 17:30:01,,4.8,,12.50,,4.80,40% - 0.2,1,1882722491497259008,极兔快递,JT0015153668240,其他,广东省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 17:29:04,,0.55,,6.00,,2.32,42% - 0.2,1,1882722241948753920,极兔快递,JT0015158201878,服饰,广东省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 17:28:03,,0.06,,6.00,,2.32,42% - 0.2,1,1882721990374400000,极兔快递,JT0015159823405,其他,浙江省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 16:52:20,,0.42,,6.00,,2.32,42% - 0.2,1,1882713002740097024,极兔快递,JT0015161056881,其他,河北省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 16:48:18,2025-01-24 16:51:25,2.2,,8.00,,0.00,,1,1882711989769543680,极兔快递,JT0015157704414,其他,山东省,已全额退款
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 16:50:57,,1.1,,7.00,,2.81,43% - 0.2,1,1882712655078432768,极兔快递,JT0015157679434,其他,山东省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 16:50:03,,0.9,,6.00,,2.32,42% - 0.2,1,1882712429491986432,极兔快递,JT0015159398829,其他,山东省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 16:47:16,,0.9,,6.00,,2.32,42% - 0.2,1,1882711728783171584,极兔快递,JT0015157459140,其他,浙江省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 15:50:20,,0.55,,6.00,,2.32,42% - 0.2,1,1882697400705163264,极兔快递,JT0015146971373,服饰,广东省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,干洗,2025-01-24 14:14:27,,,,24.50,,7.35,30%,,1882673270647758848,干洗,,"清洗普通羽绒服2件不分长短49元   *   1",,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,干洗,2025-01-24 14:11:50,,,,24.50,,7.35,30%,,1882672612808925184,干洗,,"清洗普通羽绒服2件不分长短49元   *   1",,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 13:35:29,,0.7,,6.00,,2.32,42% - 0.2,1,1882663458828525568,极兔快递,JT0015158464913,服饰,福建省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 13:34:55,,0.53,,6.00,,2.32,42% - 0.2,1,1882663319355334656,极兔快递,JT0015158353975,服饰,福建省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 13:34:17,,0.55,,6.00,,2.32,42% - 0.2,1,1882663161209102336,极兔快递,JT0015137125605,服饰,福建省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 13:30:42,,4.7,,12.50,,4.80,40% - 0.2,1,1882662259924475904,极兔快递,JT0015154189152,服饰,江苏省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 13:28:29,,0.9,,6.00,,2.32,42% - 0.2,1,1882661680493961216,极兔快递,JT0015158970330,服饰,江苏省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 13:25:03,,0.72,,6.00,,2.32,42% - 0.2,1,1882660844254601216,极兔快递,JT0015158724711,服饰,江苏省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 13:23:37,,0.35,,6.00,,2.32,42% - 0.2,1,1882660481623465984,极兔快递,JT0015157942746,服饰,广东省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 13:22:17,,0.7,,6.00,,2.32,42% - 0.2,1,1882660147366797312,极兔快递,JT0015157251362,服饰,广东省,
嘉丰国际1号楼101快递美团干洗_站点-嘉丰国际1号楼101快递美团干洗,快递,2025-01-24 13:18:35,,1.6,,7.00,,2.81,43% - 0.2,1,1882659213945413632,极兔快递,JT0015157862816,服饰,江苏省,
