姓名,订单类型,日期,退款日期,打单重量,结算重量,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
杜甫川快递_站点,总计:,394.80,,,,,,,,,,,,,,
杜甫川快递_站点-杜甫川快递,快递,2025-01-22 19:26:43,,2,,8.00,,3.88,51% - 0.2,2,1882027079646396416,极兔快递,JT0015143764726,生活用品,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-22 17:25:41,,1,,6.00,,2.32,42% - 0.2,2,1881996623924248576,极兔快递,JT0015142356972,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-22 14:16:50,,1,,6.00,,2.32,42% - 0.2,2,1881949094784352256,极兔快递,JT0015139469341,生活用品,广西壮族自治区,
杜甫川快递_站点-杜甫川快递,快递,2025-01-22 13:16:00,,1,,6.00,,2.32,42% - 0.2,2,1881933787546075136,极兔快递,JT0015138688703,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-22 11:16:43,,1,,6.00,,2.32,42% - 0.2,2,1881903768379670528,极兔快递,JT0015136656174,服饰,河南省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-22 11:13:39,,1,,6.00,,2.32,42% - 0.2,2,1881902999265951744,极兔快递,JT0015130849190,生活用品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-22 11:11:51,,1,,6.00,,2.32,42% - 0.2,2,1881902544590815232,极兔快递,JT0015130990326,生活用品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-21 20:18:33,,1,,6.00,,2.32,42% - 0.2,2,1881677730218188800,极兔快递,JT0015129909151,生活用品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-21 20:16:14,,1,,6.00,,2.32,42% - 0.2,2,1881677155216859136,极兔快递,JT0015132582861,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-21 18:37:53,,1,,6.00,,2.32,42% - 0.2,2,1881652404641538048,极兔快递,JT0015130287608,生活用品,辽宁省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-21 16:23:06,,1,,6.00,,2.32,42% - 0.2,2,1881618485426724864,极兔快递,JT0015124311073,服饰,辽宁省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-21 13:09:39,,1,,6.00,,2.32,42% - 0.2,2,1881569800164679680,极兔快递,JT0015118823422,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-20 19:06:06,,1,,6.00,,2.32,42% - 0.2,2,1881297115049017344,极兔快递,JT0015111634229,服饰,江苏省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-20 18:50:48,,1,,6.00,,2.32,42% - 0.2,2,1881293267043532800,极兔快递,JT0015116892914,生活用品,江苏省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-20 18:18:25,,1,,6.00,,2.32,42% - 0.2,2,1881285117468917760,极兔快递,JT0015113450261,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-20 15:44:40,,3,,10.00,,5.30,55% - 0.2,2,1881246405146099712,极兔快递,JT0015107810929,生活用品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-20 14:11:00,,1,,6.00,,2.32,42% - 0.2,2,1881222851264303104,极兔快递,JT0015107497530,生活用品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-20 13:23:17,,1,,6.00,,2.32,42% - 0.2,2,1881210768263008256,极兔快递,JT0015107307643,生活用品,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-20 12:46:20,,1,,6.00,,2.32,42% - 0.2,2,1881201532460126208,极兔快递,JT0015108590542,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-20 11:40:17,,1,,6.00,,2.32,42% - 0.2,2,1881184916565446656,极兔快递,JT0015107448278,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-20 11:38:04,,2,,8.00,,3.88,51% - 0.2,2,1881184365878497280,极兔快递,JT0015108593677,易碎品,天津市,
杜甫川快递_站点-杜甫川快递,快递,2025-01-19 17:38:56,,1,,6.00,,2.32,42% - 0.2,2,1880912790381973504,极兔快递,JT0015100122153,数码产品,江苏省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-19 16:57:24,,1,,6.00,,2.32,42% - 0.2,2,1880902342249074688,极兔快递,JT0015098012763,生活用品,陕西省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-19 16:03:49,,2,,8.00,,3.88,51% - 0.2,2,1880888856135651328,极兔快递,JT0015094836157,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-19 13:40:56,,3,,10.00,,5.30,55% - 0.2,2,1880852896672960512,极兔快递,JT0015090461259,服饰,江西省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-19 13:35:51,,1,,6.00,,2.32,42% - 0.2,2,1880851602386243584,极兔快递,JT0015091793241,服饰,江西省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-19 13:34:05,,1,,6.00,,2.32,42% - 0.2,2,1880851091784257536,极兔快递,JT0015095191111,服饰,河南省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-19 13:29:06,,1,,6.00,,2.32,42% - 0.2,2,1880849898467020800,极兔快递,JT0015094841831,生活用品,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-19 13:28:08,,1,,6.00,,2.32,42% - 0.2,2,1880849680543567872,极兔快递,JT0015091810590,生活用品,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-19 13:26:54,,1,,6.00,,2.32,42% - 0.2,2,1880849369993105408,极兔快递,JT0015081945208,生活用品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-19 13:25:44,,1,,6.00,,2.32,42% - 0.2,2,1880849075221614592,极兔快递,JT0015095002745,生活用品,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-19 13:24:31,,1,,6.00,,2.32,42% - 0.2,2,1880848764339802112,极兔快递,JT0015076677096,生活用品,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-19 10:20:20,,1,,6.00,,2.32,42% - 0.2,2,1880802417830055936,极兔快递,JT0015091598460,数码产品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-18 19:23:33,,1,,6.00,,2.32,42% - 0.2,2,1880576734705012736,极兔快递,JT0015084242186,生活用品,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-18 13:11:31,,2,,8.00,,3.88,51% - 0.2,2,1880483096301981696,极兔快递,JT0015079365928,生活用品,陕西省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-17 19:48:59,,1,,6.00,,2.32,42% - 0.2,2,1880220745006895104,极兔快递,JT0015066310139,生活用品,河南省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-17 18:07:24,,1,,6.00,,2.32,42% - 0.2,2,1880195180589797376,极兔快递,JT0015069913107,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-17 15:31:10,,1,,6.00,,2.32,42% - 0.2,2,1880155866900254720,极兔快递,JT0015066828148,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-17 14:27:31,,1,,6.00,,2.32,42% - 0.2,2,1880139845183262720,极兔快递,JT0015064934581,服饰,吉林省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-17 14:25:04,,1,,6.00,,2.32,42% - 0.2,2,1880137805853937664,极兔快递,JT0015064058833,服饰,河北省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-17 14:18:42,,1,,6.00,,2.32,42% - 0.2,2,1880137612014178304,极兔快递,JT0015065680983,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-17 12:52:59,,1,,6.00,,2.32,42% - 0.2,2,1880116059998310400,极兔快递,JT0015062051424,服饰,广西壮族自治区,
杜甫川快递_站点-杜甫川快递,快递,2025-01-17 12:51:19,,1,,6.00,,2.32,42% - 0.2,2,1880115635652186112,极兔快递,JT0015063573213,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-17 12:46:23,,3,,10.00,,5.30,55% - 0.2,2,1880114148398125056,极兔快递,JT0015063255395,食品,陕西省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-16 16:54:49,,1,,7.00,,1.94,42%,2,1879814482016129024,极兔快递,JT0015039444887,其他,上海市,
杜甫川快递_站点-杜甫川快递,快递,2025-01-16 16:53:24,,1,,6.00,,2.32,42% - 0.2,2,1879814174158409728,极兔快递,JT0015049790572,其他,江苏省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-16 16:52:10,,1,,6.00,,2.32,42% - 0.2,2,1879813858012745728,极兔快递,JT0015050205889,其他,福建省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-16 13:19:18,,1,,6.00,,2.32,42% - 0.2,2,1879760292698968064,极兔快递,JT0015047077681,其他,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-16 11:37:15,,1,,6.00,,2.32,42% - 0.2,2,1879734611143348224,极兔快递,JT0015046093910,服饰,山东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-15 21:05:56,,1,,6.00,,2.32,42% - 0.2,2,1879515335853658112,极兔快递,JT0015039703742,生活用品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-15 21:04:33,,1,,6.00,,2.32,42% - 0.2,2,1879514984857522176,极兔快递,JT0015037831507,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-15 18:13:25,,1,,6.00,,2.32,42% - 0.2,2,1879471918738100224,极兔快递,JT0015036321489,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-15 16:54:01,,2,,8.00,,3.88,51% - 0.2,2,1879451591039569920,极兔快递,JT0015036894249,生活用品,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-15 16:51:20,,1,,6.00,,2.32,42% - 0.2,2,1879451247005978624,极兔快递,JT0015036840198,生活用品,福建省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-15 16:50:26,,1,,6.00,,2.32,42% - 0.2,2,1879450709921157120,极兔快递,JT0015033726929,生活用品,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-15 15:10:55,,1,,6.00,,2.32,42% - 0.2,2,1879425988559163392,极兔快递,JT0015033545652,服饰,河北省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-15 10:22:43,,1,,6.00,,2.32,42% - 0.2,2,1879353463510716416,极兔快递,JT0015018922732,生活用品,河南省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-14 18:55:42,,2,,8.00,,3.88,51% - 0.2,2,1879120149617102848,极兔快递,JT0015010956281,服饰,江苏省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-14 18:53:02,,1,,6.00,,2.32,42% - 0.2,2,1879119503132250112,极兔快递,JT0015014064550,数码产品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-14 17:42:13,,1,,6.00,,2.32,42% - 0.2,2,1879101682100785152,极兔快递,JT0015022114259,服饰,江苏省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-14 15:52:56,,1,,6.00,,2.32,42% - 0.2,2,1879074172818477056,极兔快递,JT0015020025555,数码产品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-14 13:16:02,,1,,6.00,,2.32,42% - 0.2,2,1879034657177391104,极兔快递,JT0015013508433,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-14 13:15:16,,1,,6.00,,2.32,42% - 0.2,2,1879034500662743040,极兔快递,JT0015015516936,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-14 11:09:27,,2,,8.00,,3.88,51% - 0.2,2,1879002838688124928,极兔快递,JT0015013800655,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-14 11:08:46,,1,,6.00,,2.32,42% - 0.2,2,1879002657112510464,极兔快递,JT0015002791826,服饰,湖南省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-14 11:08:12,,1,,6.00,,2.32,42% - 0.2,2,1879002511951843328,极兔快递,JT0015011321690,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-14 11:07:22,,1,,6.00,,2.32,42% - 0.2,2,1879002314513371136,极兔快递,JT0015013747792,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-14 11:06:49,,2,,8.00,,3.88,51% - 0.2,2,1879002175543496704,极兔快递,JT0015013841208,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-14 10:50:30,,1,,6.00,,2.32,42% - 0.2,2,1878998064102166528,极兔快递,JT0015012104236,服饰,四川省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-13 20:01:01,,2,,8.00,,3.88,51% - 0.2,2,1878774226609295360,极兔快递,JT0015007610286,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-13 17:03:51,,1,,6.00,,2.32,42% - 0.2,2,1878729607892750336,极兔快递,JT0015003956520,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-12 19:26:07,,1,,6.00,,2.32,42% - 0.2,2,1878403037722365952,极兔快递,JT0014987043813,生活用品,浙江省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-12 19:25:09,,1,,6.00,,2.32,42% - 0.2,2,1878402803223023616,极兔快递,JT0014991708756,生活用品,辽宁省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-12 19:24:16,,1,,6.00,,2.32,42% - 0.2,2,1878402589581955072,极兔快递,JT0014972588745,生活用品,湖北省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-12 19:23:03,,1,,6.00,,2.32,42% - 0.2,2,1878402281862647808,极兔快递,JT0014990909242,生活用品,福建省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-12 12:57:08,,1,,6.00,,2.32,42% - 0.2,2,1878305161830780928,极兔快递,JT0014980593085,服饰,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-12 12:36:19,,1,,6.00,,2.32,42% - 0.2,2,1878299921333145600,极兔快递,JT0014984928451,生活用品,福建省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-11 20:14:21,,2,,8.00,,3.88,51% - 0.2,2,1878052799321001984,极兔快递,JT0014970245208,服饰,江西省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-11 16:28:09,,5,,15.00,,7.30,50% - 0.2,2,1877995852852940800,极兔快递,JT0014970513587,生活用品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-11 16:24:13,,6,,18.00,,8.80,50% - 0.2,2,1877994888636977152,极兔快递,JT0014970649316,服饰,青海省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-11 16:23:02,2025-01-11 16:23:39,6,,18.00,,0.00,,2,1877994591134994432,极兔快递,JT0014967558831,生活用品,青海省,已全额退款
杜甫川快递_站点-杜甫川快递,快递,2025-01-11 16:18:21,2025-01-11 16:20:54,6,,18.00,,0.00,,2,1877993412443295744,极兔快递,JT0014971983035,生活用品,青海省,已全额退款
杜甫川快递_站点-杜甫川快递,快递,2025-01-11 14:10:42,,1,,6.00,,2.32,42% - 0.2,2,1877961280295587840,极兔快递,JT0014953054135,其他,山东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-10 16:38:13,,1,,6.00,,2.32,42% - 0.2,2,1877635229040300032,极兔快递,JT0014956249604,数码产品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-10 13:58:32,,1,,6.00,,2.32,42% - 0.2,2,1877595832609722368,极兔快递,JT0014954174114,生活用品,湖南省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-10 13:35:11,,1,,6.00,,2.32,42% - 0.2,2,1877589958239506432,极兔快递,JT0014956003720,生活用品,江苏省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-10 11:44:09,,1,,6.00,,2.32,42% - 0.2,2,1877562017510117376,极兔快递,JT0014952379001,服饰,江苏省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-09 19:38:13,,1,,6.00,,2.32,42% - 0.2,2,1877318931987091456,极兔快递,JT0014948660289,生活用品,广东省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-09 19:33:54,,2,,8.00,,3.88,51% - 0.2,2,1877317838775308288,极兔快递,JT0014941887515,服饰,陕西省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-09 17:21:51,,2,,8.00,,3.88,51% - 0.2,2,1877284562362748928,极兔快递,JT0014946824173,服饰,江苏省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-09 10:04:06,,2,,8.00,,3.88,51% - 0.2,2,1877174447882162176,极兔快递,JT0014935563993,服饰,陕西省,
杜甫川快递_站点-杜甫川快递,快递,2025-01-08 18:32:08,,1,,6.00,,2.32,42% - 0.2,2,1876939912976322560,极兔快递,JT0014927609589,服饰,河北省,
